Weight,UAE,BAHRAIN/OMAN/KUWAIT,SAUDI,EGYPT/JORDAN/LEBANON/CYPRUS/TURKEY,QATAR,TAIWAN/VIETNAM,SINGAPORE,Malaysia,Thailand,Philippines,Nepal,Bangladesh,Sri Lanka,HONG KONG,CHINA/KOREA SOUTH/INDONESIA,ITALY - PLX/PDX/PPX,GERMANY - PLX/PDX/PPX,FRANCE - PLX/PDX/PPX,Maldives,UK - PPX,UK - GPX,JAPAN,NEW ZEALAND,BULGARIA/CZECH REPUBLIC/HUNGARY/POLAND/ROMANIA/SLOVAKIA,AZERBEJAN/GEORGIA/KAZAKHISTAN,ARMENIA/KYRGYZSTAN/RUSSIA/UKRAINE/UZBEKISTAN/ESTONIA/LITHUINIA,BAHRAIN/KUWAIT - DPX MODE - ABOVE 11KG & 21KG RATE,OMAN - GPX MODE ABOVE 11KG & 21KG RATE,SAUDI ARABIA - GPX MODE - ABOVE 11KG & 21KG,EGYPT/JORDAN/LEBANON - DPX MODE - ABOVE 20KG, 40KGS & 50KGS+,TURKEY - DPX MODE - ABOVE 20KG, 40KGS & 50KGS+,KENYA,NIGERIA/SOUTH AFRICA,ETHIOPIA/GHANA,DJIBOUTI/SUDAN,TANZANIA,MOROCCO/ZIMBABWE/UGANDA,BOTSWANA/MOZAMBIQUE/ZAMBIA,MAURITIUS,MALI/NAMIBIA/BENIN,MADAGASCAR/MALAWI,REUNION ISLAND/SEYCHELLES/LIBYA,SWAZILAND/TUNISIA,ERITREA,IVORY COAST,CAMEROON/TOGO,DEM REP OF THE CONGO/LESOTHO,SIERRA LEONNE,RWANDA,CONGO,GABON/SOMALIA,GUINEA/BURKINA FASO
Dox 500 Gm,1120,1157,1204,1574,1157,1421,614,683,932,1500,325,748,504,622,2042,961,887,1073,1137,1257,640,2013,1998,1910,1465,1373,,,,,,1469,1469,1783,1783,1783,1783,1783,1169,1789,1789,3126,3126,3126,3126,3126,3126,1422,1422,1422,1422,1422
SPX 500 Gm,1242,1243,1307,1597,1208,1421,614,770,1077,2288,458,875,504,622,2042,1019,945,1171,1137,1257,640,3027,1998,1910,1876,2224,,,,,,1500,1500,1885,1885,1885,1885,1885,1169,1789,1789,3126,3126,3126,3126,3126,3126,1422,1422,1422,1422,1422
1,1375,1536,1452,2253,1536,1955,786,1243,1555,3556,467,1104,666,622,2297,1158,1084,1389,1431,1397,781,3598,2448,2555,1930,3139,,,,,,2176,2176,2682,2682,2682,2682,2682,1412,2231,2231,3649,3649,3649,3649,3649,3649,2319,2319,2319,2319,2319
1.5,1554,1894,1655,2916,1894,2195,977,1744,2142,4392,670,1333,827,741,2842,1430,1356,1739,1720,1597,981,4330,2908,3200,2344,3779,,,,,,2852,2852,3460,3460,3460,3460,3460,1654,2714,2714,4173,4173,4173,4173,4173,4173,3174,3174,3174,3174,3174
2,1733,2250,1858,3572,2250,2600,1168,2219,2701,5228,891,1561,991,916,3386,1629,1555,2016,2009,1797,1181,4889,3365,3845,2810,4419,,,,,,3543,3543,4206,4206,4206,4206,4206,1897,3156,3156,4696,4696,4696,4696,4696,4696,4072,4072,4072,4072,4072
2.5,1911,2607,2061,4227,2607,2967,1359,2720,3144,6145,1111,1790,1153,1062,3930,1827,1753,2293,2298,1997,1380,5643,3823,4490,3105,5059,,,,,,4219,4219,4980,4980,4980,4980,4980,2139,3598,3598,5179,5179,5179,5179,5179,5179,4927,4927,4927,4927,4927
3,2558,3358,3051,4898,3358,3556,1478,3194,3701,7026,1332,2019,1314,1237,4593,2025,1951,2570,2839,2196,1580,6098,4384,5135,3588,5699,,,,,,4895,4895,5738,5738,5738,5738,5738,2382,4041,4041,5702,5702,5702,5702,5702,5702,5500,5500,5500,5500,5500
3.5,2702,3706,3236,5538,3706,3815,1754,3696,4288,7908,1552,2248,1511,1383,5036,2297,2261,2957,2958,2396,2396,6735,4857,5780,4071,6339,,,,,,5571,5571,6508,6508,6508,6508,6508,2624,5213,5213,6226,6226,6226,6226,6226,6226,6347,6347,6347,6347,6347
4,2846,4053,3420,6209,4053,4074,2030,4170,4847,8790,1773,2476,1675,1558,5479,2473,2436,3211,3076,2596,2596,7191,5279,6425,4554,6978,,,,,,6246,6246,7282,7282,7282,7282,7282,2855,6384,6384,6749,6749,6749,6749,6749,6749,7154,7154,7154,7154,7154
4.5,2990,4401,3605,6864,4401,4333,2307,4672,5434,9672,1991,2705,1871,1704,5929,2671,2634,3488,3195,2795,2795,7815,5692,7070,4989,7618,,,,,,6922,6922,8063,8063,8063,8063,8063,3098,7556,7556,7232,7232,7232,7232,7232,7232,8002,8002,8002,8002,8002
5,3133,4749,3789,7520,4749,4517,2583,5146,5991,10554,2212,2934,2033,1879,6372,2846,2809,3742,3313,2995,2995,8279,6119,7715,5472,8258,,,,,,7614,7614,8829,8829,8829,8829,8829,3329,8728,8728,7755,7755,7755,7755,7755,7755,8809,8809,8809,8809,8809
5.5,1773,3498,4859,8222,2694,6675,2581,5648,6578,11161,2380,3163,2246,2026,9196,3082,3045,4055,5582,3195,3195,9996,6967,8441,5955,8939,,,,,,8352,8352,9678,9678,9678,9678,9678,3561,9535,9535,8319,8319,8319,8319,8319,8319,9697,9697,9697,9697,9697
6,1782,3508,5072,8924,2703,6982,2830,6122,7137,11767,2565,3391,2408,2229,9739,3294,3257,4346,5840,3395,3395,10516,7306,9167,6438,9619,,,,,,9091,9091,10526,10526,10526,10526,10526,3792,10342,10342,8883,8883,8883,8883,8883,8883,10585,10585,10585,10585,10585
6.5,2068,4079,5285,9627,3140,7290,3080,6624,7724,12376,2805,3620,2624,2376,10283,3529,3492,4660,6097,3594,3594,11218,8072,9893,6921,10299,,,,,,9829,9829,11374,11374,11374,11374,11374,4024,11149,11149,9447,9447,9447,9447,9447,9447,11473,11473,11473,11473,11473
7,2076,4089,5498,10329,3149,7597,3329,7098,8281,12983,2991,3849,2786,2579,10826,3741,3704,4950,6354,3794,3794,11734,8430,10619,7404,10979,,,,,,10568,10568,12223,12223,12223,12223,12223,4256,11956,11956,10011,10011,10011,10011,10011,10011,12362,12362,12362,12362,12362
7.5,2363,4660,5711,11032,3587,8343,3579,7601,8868,13590,3231,4078,3000,2726,11370,3976,3939,5264,6611,3994,3994,12435,8788,11345,7887,11659,,,,,,11306,11306,13071,13071,13071,13071,13071,4488,12763,12763,10575,10575,10575,10575,10575,10575,13250,13250,13250,13250,13250
8,2372,4669,5923,11734,3597,8665,3828,8074,9427,14197,3417,4306,3161,2929,11913,4189,4152,5555,6868,4193,4193,12955,9146,12071,8370,12339,,,,,,12045,12045,13919,13919,13919,13919,13919,4719,13570,13570,11139,11139,11139,11139,11139,11139,14138,14138,14138,14138,14138
8.5,2658,5241,6136,12437,4034,8988,4077,8577,10014,14804,3657,4535,3377,3076,12513,4424,4387,5868,7125,4393,4393,13656,9504,12797,8853,13020,,,,,,12783,12783,14767,14767,14767,14767,14767,4951,14377,14377,11703,11703,11703,11703,11703,11703,15026,15026,15026,15026,15026
9,2666,5250,6349,13139,4043,9311,4327,9050,10571,15413,3842,4764,3539,3279,13103,4636,4599,6159,7382,4593,4593,14172,9862,13523,9336,13700,,,,,,13522,13522,15616,15616,15616,15616,15616,5183,15185,15185,12266,12266,12266,12266,12266,12266,15914,15914,15914,15914,15914
9.5,2952,5821,6562,13842,4481,9634,4576,9551,11158,16019,4082,4993,3753,3426,13693,4871,4834,6473,7639,4792,4792,14857,10220,14249,9819,14380,,,,,,14260,14260,16464,16464,16464,16464,16464,5415,15992,15992,12830,12830,12830,12830,12830,12830,16802,16802,16802,16802,16802
10,2962,5831,6775,13407,4489,9793,4825,10026,11717,16626,4270,5221,3914,3629,14284,5083,5047,6763,7896,4992,4992,15357,11027,14975,10302,15060,,,,,,14999,14999,16944,16944,16944,16944,16944,5646,16799,16799,13394,13394,13394,13394,13394,13394,17690,17690,17690,17690,17690
10.5,3290,4994,7110,9115,4994,10894,4984,9077,10605,16748,4288,5352,4052,3735,14139,5242,5206,6968,8252,5118,5118,15707,11327,15921,10935,15961,,,,,,12747,12747,14352,14352,14352,14352,14352,5772,17853,17853,14153,14153,14153,14153,14153,14153,18839,18839,18839,18839,18839
11,3299,5004,7105,9110,5004,11188,5228,9509,11109,17545,4492,5577,4245,3495,14565,5452,5416,7254,8500,5315,5315,16162,11829,16657,11425,16650,,,,,,12742,12742,14347,14347,14347,14347,14347,5999,18671,18671,14725,14725,14725,14725,14725,14725,19740,19740,19740,19740,19740
11.5,3589,5447,7755,9942,5447,11482,5473,9941,11614,18342,4696,5801,4437,3654,15222,5684,5648,7563,8747,5512,5512,16791,12332,17393,11915,17340,4702,4439,6205,212,212,13904,13904,15655,15655,15655,15655,15655,6227,19489,19489,15297,15297,15297,15297,15297,15297,20640,20640,20640,20640,20640
12,3597,5455,7751,9938,5455,11776,5718,10372,12118,19139,4900,6026,4630,3813,15683,5893,5857,7849,8994,5709,5709,17247,12834,18129,12405,18030,4918,4636,6458,221,221,13900,13900,15650,15650,15650,15650,15650,6454,20308,20308,15869,15869,15869,15869,15869,15869,21541,21541,21541,21541,21541
12.5,3888,5900,8401,10770,5900,12070,5963,10804,12623,19936,5104,6251,4822,3972,16393,6125,6089,8158,9241,5906,5906,17878,13337,18865,12894,18719,5115,4833,6749,230,230,15062,15062,16959,16959,16959,16959,16959,6682,21126,21126,16440,16440,16440,16440,16440,16440,22441,22441,22441,22441,22441
13,3897,5910,8396,10765,5910,12363,6208,11236,13128,20733,5307,6475,5015,4131,16901,6334,6298,8445,9488,6103,6103,18319,13839,19602,13384,19409,5311,5030,7002,239,239,15057,15057,16954,16954,16954,16954,16954,6910,21945,21945,17012,17012,17012,17012,17012,17012,23342,23342,23342,23342,23342
13.5,4187,6353,9046,11597,6353,12657,6453,11668,13632,21530,5511,6700,5207,4290,17662,6566,6530,8754,9735,6300,6300,18932,14342,20338,13874,20099,5527,5226,7293,248,248,16220,16220,18262,18262,18262,18262,18262,7137,22763,22763,17584,17584,17584,17584,17584,17584,24243,24243,24243,24243,24243
14,4195,6361,9041,11592,6361,12951,6698,12100,14137,22327,5715,6924,5400,4449,18213,6776,6739,9040,9982,6498,6498,19385,14845,21074,14364,20789,5724,5404,7546,257,257,16215,16215,18257,18257,18257,18257,18257,7365,23581,23581,18156,18156,18156,18156,18156,18156,25143,25143,25143,25143,25143
14.5,4485,6806,9691,12425,6806,13245,6943,12531,14641,23125,5919,7149,5593,4608,18975,7008,6971,9349,10229,6695,6695,20005,15347,21810,14853,21478,5939,5601,7818,266,266,17377,17377,19565,19565,19565,19565,19565,7592,24400,24400,18727,18727,18727,18727,18727,18727,26044,26044,26044,26044,26044
15,4495,6816,9686,12420,6816,13318,7188,12963,15146,23922,6123,7374,5785,4766,19526,7217,7181,9635,10476,6892,6892,20440,15850,22546,15343,22168,6136,5798,8090,274,274,17372,17372,19561,19561,19561,19561,19561,7820,25218,25218,19299,19299,19299,19299,19299,19299,26944,26944,26944,26944,26944
15.5,4784,7258,9873,11283,6968,13833,7432,13395,15650,21091,6536,7598,5978,4809,20288,7449,7413,9944,10723,7089,7089,21073,16352,23283,15833,22858,6342,5994,8343,283,283,16394,16394,18547,18547,18547,18547,18547,8047,26036,26036,19871,19871,19871,19871,19871,19871,27845,27845,27845,27845,27845
16,4792,7267,9868,11278,6977,14127,7677,13827,16155,21771,6746,7823,6170,4964,20839,7658,7622,10231,10970,7286,7286,21524,16797,24019,16323,23547,6548,6191,8633,292,292,16390,16390,18542,18542,18542,18542,18542,8275,26855,26855,20443,20443,20443,20443,20443,20443,28746,28746,28746,28746,28746
16.5,5083,7711,10489,11987,7403,14421,7922,14259,16660,22452,6957,8048,6363,5119,21601,7890,7854,10540,11217,7483,7483,22143,17221,24755,16813,24237,6756,6388,8849,301,301,17418,17418,19705,19705,19705,19705,19705,8502,27673,27673,21014,21014,21014,21014,21014,21014,29646,29646,29646,29646,29646
17,5092,7719,10484,11982,7411,14715,8167,14690,17164,23132,7167,8272,6555,5274,22152,8099,8063,10826,11464,7680,7680,22596,17644,25491,17302,24927,6955,6566,9121,310,310,17413,17413,19701,19701,19701,19701,19701,8730,28492,28492,21586,21586,21586,21586,21586,21586,30547,30547,30547,30547,30547
17.5,5381,8164,11105,12691,7838,15009,8412,15122,17669,23812,7378,8497,6748,5430,22914,8331,8295,11135,11711,7877,7877,23229,18068,26227,17792,25616,7157,6762,9430,319,319,18442,18442,20864,20864,20864,20864,20864,8958,29310,29310,22158,22158,22158,22158,22158,22158,31447,31447,31447,31447,31447
18,5390,8173,11101,12687,7846,15303,8657,15554,18173,24492,7588,8722,6940,5585,23465,8541,8504,11421,11958,8074,8074,23684,18491,26963,18282,26306,7372,6959,9702,327,327,18437,18437,20859,20859,20859,20859,20859,9185,30128,30128,22730,22730,22730,22730,22730,22730,32348,32348,32348,32348,32348
18.5,5680,8617,11722,13396,8272,15597,8902,15986,18678,25172,7799,8946,7133,5740,24227,8773,8736,11730,12205,8271,8271,24313,18915,27700,18772,26996,7569,7156,9955,336,336,19466,19466,22022,22022,22022,22022,22022,9413,30947,30947,23302,23302,23302,23302,23302,23302,33249,33249,33249,33249,33249
19,5690,8625,11717,13391,8282,15891,9147,16418,19182,25852,8009,9171,7325,5895,24778,8982,8946,12016,12452,8468,8468,24770,19338,28436,19261,27685,7766,7353,10227,345,345,19461,19461,22017,22017,22017,22017,22017,9640,31765,31765,23873,23873,23873,23873,23873,23873,34149,34149,34149,34149,34149
19.5,5979,9070,12338,14100,8707,16185,9391,16849,19687,26532,8220,9396,7518,6050,25541,9214,9178,12325,12699,8665,8665,25406,19762,29172,19751,28375,7963,7531,10499,354,354,20489,20489,23180,23180,23180,23180,23180,9868,32583,32583,24445,24445,24445,24445,24445,24445,35050,35050,35050,35050,35050
20,5988,9071,12324,14086,8708,16214,9627,17272,20183,27203,8422,9611,7702,6132,26017,9423,9328,12553,12937,8803,8803,25831,20177,29899,20232,29056,8169,7718,10781,354,354,20476,20476,23167,23167,23167,23167,23167,10086,33393,33393,25008,25008,25008,25008,25008,25008,35941,35941,35941,35941,35941
20+,299,452,604,677,435,848,489,872,1023,1375,440,481,390,349,1293,441,439,546,672,443,443,1292,890,1495,1012,1453,393,371,516,439,525,713,713,1083,1083,1083,1083,1083,1083,1670,1670,1325,1325,1325,1325,1325,1325,1604,1604,1604,1604,1604
25+,299,452,595,677,435,850,489,872,1023,1375,440,481,390,349,1293,441,439,546,629,443,443,1120,890,1495,1012,1453,393,371,516,439,525,713,713,1083,1083,1083,1083,1083,1083,1670,1670,1325,1325,1325,1325,1325,1325,1604,1604,1604,1604,1604
30+,299,452,538,657,435,848,489,872,1023,1375,440,481,390,349,1233,441,439,546,607,443,443,1120,886,1487,1001,1428,393,371,516,439,525,741,1021,1083,999,1067,1284,1413,446,1284,1413,1037,1021,999,1254,1282,1411,1411,1129,1190,1264,1282
40+,299,452,531,649,435,846,489,872,1023,1375,440,481,390,349,1203,441,439,546,595,443,443,1120,886,1484,996,1416,393,371,516,429,502,741,1021,1083,999,1067,1284,1413,446,1284,1413,1037,1021,999,1254,1282,1411,1411,1129,1190,1264,1282
50+,299,452,528,654,435,820,489,872,1023,1375,440,481,390,349,1184,441,439,546,741,443,443,1089,886,1481,992,1409,393,371,516,416,487,741,1021,1083,999,1067,1284,1413,446,1284,1413,1037,1021,999,1254,1282,1411,1411,1129,1190,1264,1282
70+,299,452,528,645,435,964,489,872,1023,1375,440,481,390,349,1164,441,439,546,726,443,443,1089,886,1477,986,1394,393,371,516,416,487,741,1021,1083,999,1067,1284,1413,446,1284,1413,1037,1021,999,1254,1282,1411,1411,1129,1190,1264,1282
